ean,codigo,descricao,quant. imagens,importado
81063,1497709,VELA LITURGIA NOSSA SENHORA DE FATIMA,0,Sim
81075,1488053,VELA LITURGIA NOSSA SENHORA SANTANA,0,Sim
81064,1497711,VELA LITURGIA PADRE CICERO,0,Sim
81067,1497715,VELA LITURGIA SAGRADA FAMILIA,0,Sim
81068,1497717,VELA LITURGIA SAO FRANCISCO DE ASSIS,0,Sim
81070,1497719,VELA LITURGIA SAO JORGE,0,Sim
81071,1497721,VELA LITURGIA SAO JOSE,0,Sim
81065,1497713,VELA LITURGIA S. CORACAO DE JESUS,0,Sim
81056,1488045,VELA LUZ DA VIDA N 10,0,Sim
81058,1488049,VELA LUZ DA VIDA N 12,0,Sim
81055,1488043,VELA LUZ DA VIDA N 8,0,Sim
4288,1488547,VELA P/FILTRO TRAD.STEFANI/AGELUX ,0,Sim
7896880000000,1489199,VELA P/FILTRO TRAD.STEFANI/AGELUX ,0,Sim
75560,1497728,VELA VIWACE 07 DIAS 12X1 BRANCA ,0,Sim
7896388296967,908402,VELA VIWACE 07 DIAS 12X1 BRANCA ,0,Sim
34750,1298152,VELA VIWACE Nº 10 F PLUS  8X1 ,1,Sim
7896388261101,1497723,VELA VIWACE  Nº 10 G 8X1,0,Sim
7898220000000,1030521,VELA VIWACE  Nº 10 G 8X1,0,Sim
7896388240889,1497725,VELA VIWACE  Nº 8 F 8X1,0,Sim
7896050200124,454247,VELHO BARREIRO 910ML,4,Sim
7893430000000,1488890,VINAGRE ALHO IMPERIAL 500ML***,0,Sim
7896013101628,744031,VINAGRE FIGUEIRA ALCOOL 500ML,6,Sim
1582,1046299,VINAGRE FOLHA VERDE ALCOOL 500ML,2,Sim
7897250000000,1489024,VINAGRE LIMAO IMPERIAL 500ML**,0,Sim
7892910000000,1488885,VINAGRE MACA IMPERIAL 500ML,0,Sim
7898286190132,422148,VINAGRE MARATA/GOTA 500ML,14,Sim
35111,1497735,VINAGRE MARATA/GOTA 750ML,0,Sim
53462,1497737,VINAGRE REGINA DE ALCOOL 500ML,0,Sim
7896108300240,1029935,VINAGRE REGINA LIMAO 500ML,1,Sim
7896108300226,1029933,VINAGRE REGINA MACA 500ML,1,Sim
23929,1497741,VINHO CAMPESTRE SERRA 900ML,0,Sim
22592,1299914,VINHO DOM BENTO 900ML,0,Sim
7897290000000,1489029,VINHO DOM BENTO 900ML,0,Sim
7897146100519,1497747,VINHO GAUCHO SECO BRANCO 750ML***,0,Sim
7897146100496,1497749,VINHO GAUCHO SECO TINTO 750ML,0,Sim
6892,707502,VINHO GAUCHO SUAVE BRANCO 750ML,2,Sim
6893,670207,VINHO GAUCHO  SUAVE TINTO 750ML,2,Sim
